email,full_name,course
harshpareek@gmail.com,Harsh Pareek,BCA
shriradhikakhandelwal@gmail.com,Shri Radhika Khandelwal,BCA
nishkagoyal@gmail.com,Nishka Goyal,BCA
yashaswinisharma@gmail.com,Yashaswini Sharma,BCA
amitsingh@gmail.com,Amit Singh,BCA
sakshijain@gmail.com,Sakshi Jain,BCA
priyamehta@gmail.com,Priya Mehta,BCA
rohitsharma@gmail.com,Rohit Sharma,BCA
ananyaverma@gmail.com,Ananya Verma,BCA
deepakchauhan@gmail.com,Deepak Chauhan,BCA
ishaanthakur@gmail.com,Ishaan Thakur,BCA
kavyabansal@gmail.com,Kavya Bansal,BCA
ritikakapoor@gmail.com,Ritika Kapoor,BCA
mihirkhurana@gmail.com,Mihir Khurana,BCA
tanvigupta@gmail.com,Tanvi Gupta,BCA
adityarajput@gmail.com,Aditya Rajput,BCA
simrankaur@gmail.com,Simran Kaur,BCA
nikhiljoshi@gmail.com,Nikhil Joshi,BCA
aaravmalhotra@gmail.com,Aarav Malhotra,BCA
divyarathore@gmail.com,Divya Rathore,BCA
